万州/五桥,"30°46.5′,108°37.0′","30°43.0′,108°35.4′","30°45.5′,108°30.0′","30°44.4′,108°25.0′","30°44.7′,108°23.8′","30°48.6′,108°20.8′","30°49.7′,108°15.1′","30°53.4′,108°16.6′","30°50.7′,108°21.8′","30°52.0′,108°26.8′","30°51.5′,108°28.2′","30°47.6′,108°31.2′"
三亚/凤凰,"18°21.5′,109°34.4′","18°17.6′,109°35.1′","18°17.5′,109°29.7′","18°14.6′,109°26.3′","18°14.2′,109°24.4′","18°16.3′,109°20.1′","18°15.0′,109°15.1′","18°18.9′,109°14.5′","18°18.7′,109°19.9′","18°21.8′,109°23.3′","18°22.0′,109°25.1′","18°20.1′,109°29.2′"
三明/沙县,"26°32.5′,117°57.5′","26°29.4′,118°00.1′","26°27.0′,117°54.8′","26°22.8′,117°53.1′","26°22.1′,117°51.7′","26°22.1′,117°46.7′","26°18.7′,117°42.5′","26°22.0′,117°40.2′","26°24.2′,117°45.2′","26°28.3′,117°47.1′","26°29.3′,117°48.3′","26°29.0′,117°53.3′"
上海/浦东,"31°17.2′,121°43.6′","31°18.6′,121°48.1′","31°13.5′,121°49.1′","31°10.7′,121°53.1′","31°08.9′,121°54.0′","31°04.5′,121°52.3′","30°60.1′,121°55.1′","30°58.7′,121°50.6′","31°03.9′,121°49.6′","31°06.4′,121°45.4′","31°08.5′,121°44.8′","31°12.8′,121°46.4′"
上海/虹桥,"31°21.5′,121°17.2′","31°21.5′,121°21.8′","31°16.4′,121°21.0′","31°13.1′,121°24.3′","31°11.1′,121°24.5′","31°07.5′,121°21.5′","31°02.3′,121°22.7′","31°02.1′,121°18.1′","31°07.4′,121°18.7′","31°10.9′,121°15.5′","31°12.7′,121°15.4′","31°16.3′,121°18.2′"
上饶/三清山,"28°29.4′,118°06.0′","28°26.0′,118°08.3′","28°24.1′,118°03.0′","28°20.0′,118°01.0′","28°19.2′,117°59.5′","28°19.6′,117°54.3′","28°16.2′,117°49.8′","28°19.6′,117°47.5′","28°21.7′,117°53.1′","28°25.8′,117°55.1′","28°26.4′,117°56.6′","28°26.0′,118°01.5′"
且末/玉都,"38°22.1′,085°34.6′","38°19.2′,085°38.1′","38°16.2′,085°33.1′","38°11.9′,085°32.0′","38°10.8′,085°30.6′","38°10.1′,085°25.1′","38°05.8′,085°21.3′","38°08.7′,085°17.5′","38°11.7′,085°22.7′","38°16.3′,085°23.6′","38°17.4′,085°25.0′","38°18.0′,085°30.8′"
东营,"37°20.7′,118°50.5′","37°20.5′,118°45.4′","37°25.8′,118°46.2′","37°29.3′,118°42.7′","37°31.0′,118°42.6′","37°34.6′,118°45.5′","37°39.8′,118°44.4′","37°40.0′,118°49.2′","37°34.9′,118°48.7′","37°31.2′,118°52.0′","37°29.5′,118°52.3′","37°25.9′,118°49.1′"
丽江/三义,"26°50.4′,100°15.8′","26°49.1′,100°20.0′","26°44.6′,100°17.5′","26°40.2′,100°19.1′","26°38.8′,100°18.6′","26°36.1′,100°14.6′","26°31.0′,100°13.6′","26°32.0′,100°09.4′","26°36.8′,100°12.1′","26°41.1′,100°10.3′","26°42.6′,100°10.8′","26°45.3′,100°14.8′"
中卫/沙坡头,"37°36.6′,105°21.2′","37°32.8′,105°21.2′","37°33.4′,105°14.9′","37°30.7′,105°10.5′","37°30.5′,105°08.6′","37°33.1′,105°03.8′","37°32.0′,104°57.6′","37°36.1′,104°57.2′","37°35.5′,105°03.8′","37°38.1′,105°08.1′","37°38.3′,105°10.0′","37°35.7′,105°14.8′"
临汾/乔李 ,"35°59.0′,111°42.8′","35°58.5′,111°38.0′","36°03.5′,111°38.0′","36°06.6′,111°34.1′","36°08.0′,111°33.6′","36°12.0′,111°36.0′","36°17.1′,111°34.1′","36°17.6′,111°38.9′","36°12.6′,111°39.1′","36°09.3′,111°43.1′","36°08.1′,111°43.2′","36°04.1′,111°40.8′"
临沂/沭埠岭,"34°53.5′,118°27.0′","34°53.5′,118°22.4′","34°58.6′,118°23.2′","35°02.4′,118°20.0′","35°04.1′,118°20.0′","35°07.6′,118°23.2′","35°12.7′,118°22.4′","35°12.7′,118°27.2′","35°07.6′,118°26.1′","35°04.1′,118°29.3′","35°02.4′,118°29.3′","34°58.6′,118°26.1′"
临沧/博尚,"23°36.8′,100°07.7′","23°35.1′,100°04.0′","23°40.0′,100°02.2′","23°42.0′,099°58.1′","23°43.4′,099°57.3′","23°47.8′,099°58.2′","23°52.1′,099°55.2′","23°53.6′,099°59.1′","23°48.7′,100°00.7′","23°46.7′,100°04.8′","23°45.3′,100°05.6′","23°41.1′,100°04.6′"
义乌,"29°30.3′,120°03.1′","29°29.1′,120°07.4′","29°24.5′,120°04.9′","29°20.2′,120°06.4′","29°18.5′,120°05.7′","29°16.1′,120°01.7′","29°10.8′,120°00.7′","29°12.2′,119°56.3′","29°16.8′,119°59.1′","29°21.1′,119°57.4′","29°22.6′,119°58.1′","29°25.1′,120°02.1′"
丹东/浪头,"40°10.8′,124°19.8′","40°11.1′,124°15.0′","40°05.8′,124°15.8′","40°02.2′,124°12.3′","40°00.8′,124°12.1′","39°57.1′,124°15.6′","39°52.2′,124°14.4′","39°52.0′,124°19.5′","39°57.1′,124°18.5′","40°00.7′,124°22.2′","40°02.1′,124°22.1′","40°05.9′,124°18.7′"
乌兰察布/集宁,"41°11.0′,113°18.5′","41°07.1′,113°19.2′","41°07.3′,113°12.4′","41°04.2′,113°08.1′","41°04.0′,113°06.2′","41°06.1′,113°00.8′","41°04.6′,112°54.1′","41°08.3′,112°53.4′","41°08.3′,113°00.2′","41°11.4′,113°04.6′","41°11.6′,113°06.7′","41°09.7′,113°12.1′"
乌兰浩特/依勒力特,"46°08.3′,122°12.5′","46°05.1′,122°09.2′","46°08.7′,122°04.1′","46°08.5′,121°57.5′","46°09.3′,121°56.0′","46°13.7′,121°53.8′","46°16.1′,121°47.3′","46°19.1′,121°50.6′","46°15.5′,121°55.8′","46°15.7′,122°02.4′","46°14.7′,122°04.1′","46°10.5′,122°06.1′"
乌海,"39°57.1′,106°47.4′","39°56.7′,106°52.2′","39°51.6′,106°50.2′","39°47.8′,106°53.1′","39°46.4′,106°52.6′","39°43.2′,106°48.7′","39°38.1′,106°48.6′","39°38.6′,106°43.7′","39°43.4′,106°45.7′","39°47.4′,106°43.0′","39°48.9′,106°43.1′","39°52.0′,106°47.2′"
乌鲁木齐/地窝堡,"43°59.0′,087°40.5′","43°55.4′,087°42.0′","43°54.5′,087°35.0′","43°51.0′,087°31.2′","43°50.4′,087°28.6′","43°52.1′,087°22.7′","43°49.9′,087°16.4′","43°53.5′,087°14.7′","43°54.2′,087°21.8′","43°57.9′,087°25.6′","43°58.3′,087°28.2′","43°56.8′,087°34.0′"
二连浩特/赛乌素,"43°24.1′,112°18.4′","43°20.4′,112°16.5′","43°22.7′,112°10.5′","43°21.5′,112°04.6′","43°22.2′,112°02.5′","43°25.9′,111°59.2′","43°26.8′,111°52.3′","43°30.5′,111°54.0′","43°28.0′,112°00.2′","43°29.2′,112°06.1′","43°28.7′,112°08.2′","43°25.0′,112°11.5′"
井冈山,"26°54.8′,114°54.1′","26°51.1′,114°54.8′","26°51.1′,114°49.2′","26°47.7′,114°45.5′","26°47.5′,114°44.0′","26°49.5′,114°39.5′","26°48.1′,114°34.2′","26°51.8′,114°33.5′","26°52.0′,114°39.1′","26°55.0′,114°42.6′","26°55.4′,114°44.3′","26°53.4′,114°48.6′"
伊宁,"44°03.7′,081°29.8′","44°00.1′,081°32.5′","43°58.3′,081°25.9′","43°54.3′,081°23.1′","43°53.8′,081°21.7′","43°54.2′,081°15.4′","43°51.2′,081°09.7′","43°54.5′,081°07.1′","43°56.3′,081°13.9′","44°00.3′,081°16.4′","44°01.1′,081°18.0′","44°00.4′,081°24.3′"
伊春/林都,"47°44.5′,129°15.2′","47°40.7′,129°13.8′","47°42.8′,129°06.7′","47°41.2′,129°00.7′","47°41.7′,128°58.7′","47°45.0′,128°54.7′","47°45.7′,128°47.1′","47°49.5′,128°48.6′","47°47.3′,128°55.6′","47°49.1′,129°01.6′","47°48.7′,129°03.5′","47°45.1′,129°07.6′"
佳木斯,"46°58.3′,130°36.1′","46°55.4′,130°40.1′","46°52.7′,130°33.7′","46°48.2′,130°32.3′","46°47.3′,130°31.0′","46°46.8′,130°24.5′","46°43.0′,130°19.6′","46°45.9′,130°15.8′","46°48.6′,130°22.0′","46°53.1′,130°23.4′","46°54.0′,130°25.0′","46°54.5′,130°31.5′"
保山,"24°53.5′,099°09.8′","24°54.3′,099°05.8′","24°59.1′,099°07.9′","25°03.4′,099°05.7′","25°04.5′,099°06.0′","25°07.5′,099°09.7′","25°12.8′,099°10.1′","25°11.8′,099°14.3′","25°07.0′,099°12.2′","25°03.1′,099°14.2′","25°01.6′,099°14.1′","24°58.6′,099°10.4′"
