Airport,POS1Lon,POS1Lat,POS13Lon,POS13Lat,POS2Lon,POS2Lat,POS3Lon,POS3Lat,POS4Lon,POS4Lat,POS5Lon,POS5Lat,POS6Lon,POS6Lat,POS7Lon,POS7Lat,POS8Lon,POS8Lat,POS9Lon,POS9Lat,POS10Lon,POS10Lat,POS11Lon,POS11Lat,POS12Lon,POS12Lat
万州/五桥,32144956.440477595,7607390.227104753,32144956.440477595,7607390.227104753,32141986.04383257,7612269.860865697,32131962.208135057,7608784.952402154,32122681.250038683,7610318.392956566,32120453.730994795,7609900.123664254,32114884.933385067,7604461.405425124,32104304.217926577,7602927.277665397,32107088.616731443,7597764.487839434,32116740.456748627,7601531.926924062,32126022.52860452,7599717.831574358,32128620.929569222,7600416.041190308,32134189.72717895,7605856.443207806
三亚/凤凰,32251505.358904064,8611865.65832336,32251505.358904064,8611865.65832336,32252805.116266172,8616976.25988613,32242781.28056866,8617106.760908471,32236469.605357796,8620906.66753797,32232943.442711316,8621430.143872768,32224961.128217526,8618679.000327177,32215680.170121156,8620382.392498951,32214566.41059921,8615272.598754501,32224590.24629672,8615534.406848263,32230900.807748064,8611472.484828291,32234242.086313903,8611209.840924568,32241853.51888688,8613700.110788884
三明/沙县,33185392.718055576,7957085.574371265,33185392.718055576,7957085.574371265,33190219.751823694,7961301.495038678,33180380.800206825,7964564.413199959,33177225.51948115,7970272.823634043,33174627.118516453,7971224.28763106,33165345.046660554,7971224.28763106,33157548.730006933,7975842.971162687,33153279.689759314,7971359.623837362,33162560.647855688,7968370.531530683,33166087.924261693,7962796.814919069,33168315.44330558,7961437.73599776,33177596.401401956,7961845.635697433
上海/浦东,33605095.173748486,7564507.560243414,33605095.173748486,7564507.560243414,33613448.37016308,7562548.899155014,33615303.893526636,7569683.607446661,33622729.32825945,7573599.303900773,33624399.96754237,7576115.730888525,33621244.6868167,7582264.657301731,33626441.48874609,7588410.667350758,33618088.2923315,7590366.253296955,33616232.76896794,7583102.959207152,33608436.45231432,7579609.397190485,33607322.69279238,7576674.3112395555,33610291.975677885,7570662.852699729
上海/虹桥,33556089.75478287,7558490.4237341555,33556089.75478287,7558490.4237341555,33564627.83527811,7558490.4237341555,33563143.19383535,7565627.380877439,33569268.87120606,7570243.305135854,33569639.75312686,7573039.751700966,33564070.955517136,7578072.3337850375,33566298.47456103,7585338.445361345,33557760.39406579,7585617.539748076,33558874.153587736,7578212.379308172,33552933.36029768,7573319.111376377,33552748.476217035,7570802.139474902,33557945.27814643,7565766.722061159
上饶/三清山,33201171.349202983,7797226.716394519,33201171.349202983,7797226.716394519,33205440.389450602,7801901.619344001,33195602.55159325,7804512.686095989,33191890.39110661,7810147.182939617,33189105.992301747,7811245.953021331,33179453.038525045,7810696.166511684,33171099.842110448,7815366.611036357,33166830.80186283,7810696.166511684,33177225.51948115,7807810.879242992,33180937.679967795,7802176.274207359,33183722.07877266,7801351.468724333,33192818.15278839,7801901.619344001
且末/玉都,29578854.501914576,6954823.164134778,29578854.501914576,6954823.164134778,29585351.061206087,6959097.468763212,29576070.10310971,6963517.6693259645,29574027.468146466,6969850.401555879,29571429.067181766,6971469.431852609,29561219.233644087,6972500.078251192,29554165.794591606,6978826.624825168,29547112.35553912,6974560.190983152,29556764.195556305,6970144.5479912665,29558434.834839225,6963370.0641195495,29561034.349563442,6961749.808398647,29571799.949102573,6960865.768315421
东营,33283775.55166713,7044965.879314499,33283775.55166713,7044965.879314499,33274308.595730595,7045257.991701987,33275793.23717335,7037506.912759776,33269296.67788184,7032385.356274797,33269110.680041675,7029896.14681492,33274493.479811236,7024624.241214136,33272451.95860751,7017005.337227802,33281362.034783076,7016711.586799928,33280434.273101296,7024184.80041961,33286559.950471997,7029603.622963659,33287116.83023297,7032092.020993194,33281176.036942914,7037360.314966033
丽江/三义,31214595.243972562,7932720.672749795,31214595.243972562,7932720.672749795,31222391.560626186,7934491.821765943,31217751.638457756,7940620.154744804,31220720.921343267,7946609.599635391,31219793.159661487,7948514.643900199,31212367.724928673,7952188.499018068,31210512.20156511,7959125.551795639,31202715.884911492,7957766.141580294,31207727.802760243,7951236.64870543,31204386.52419441,7945384.625326576,31205314.28587619,7943342.778600383,31212739.720609,7939666.751498963
中卫/沙坡头,31781498.84064295,7021694.593389981,31781498.84064295,7021694.593389981,31781498.84064295,7027260.513233691,31769804.365662523,7026381.826869549,31761637.16708809,7030335.357062237,31758109.890682094,7030628.739641108,31749199.814506523,7026821.178920604,31737691.33736626,7028432.570414344,31736948.45976512,7022426.859611503,31749199.814506523,7023305.865548713,31757182.129000314,7019496.619289279,31760709.40540631,7019203.815568691,31769619.481581878,7023013.164465339
临汾/乔李 ,32489849.896600455,7163774.618686767,32489849.896600455,7163774.618686767,32480939.820424885,7164497.559790391,32480939.820424885,7157263.462578556,32473700.38353224,7152775.525151958,32472772.62185046,7150748.549666979,32477227.65993824,7144954.0630354425,32473700.38353224,7137562.130871276,32482610.459707804,7136837.459769171,32482982.455388136,7144084.676184017,32490406.776361424,7148865.4729848355,32490592.77420159,7150603.441427648,32486137.73611381,7156395.024833944
临沂/沭埠岭,33240152.93247108,7258129.334513145,33240152.93247108,7258129.334513145,33231613.738216326,7258129.334513145,33233099.493418604,7250810.271371284,33227158.700128544,7245354.138574947,33227158.700128544,7242912.564398945,33233099.493418604,7237883.005867122,33231613.738216326,7230551.140048845,33240523.814391892,7230551.140048845,33238482.293188162,7237883.005867122,33244421.9727187,7242912.564398945,33244421.9727187,7245354.138574947,33238482.293188162,7250810.271371284
